,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
72,KnuggetChase3,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.12363636363636361,0.1428571428571426,0.0024250059634233208
73,KnuggetChase3,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.15999999999999995,0.14893617021276595,0.005870258865626842
74,KnuggetChase3,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.17599999999999996,0.2727272727272728,0.006321172253643038
75,KnuggetChase3,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.21428571428571427,0.11111111111111109,-0.0018627684885115753
76,KnuggetChase3,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.13928571428571423,0.48387096774193544,0.000862942541807834
77,KnuggetChase3,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.14915254237288128,0.277777777777778,-0.01188014684916847
78,KnuggetChase3,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
79,KnuggetChase3,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
80,KnuggetChase3,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
81,KnuggetChase3,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
82,KnuggetChase3,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
83,KnuggetChase3,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
84,KnuggetChase3,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
85,KnuggetChase3,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
86,KnuggetChase3,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
87,KnuggetChase3,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
88,KnuggetChase3,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
89,KnuggetChase3,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
90,KnuggetChase3,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
91,KnuggetChase3,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
92,KnuggetChase3,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
93,KnuggetChase3,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
94,KnuggetChase3,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
95,KnuggetChase3,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
96,KnuggetChase3,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
97,KnuggetChase3,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
98,KnuggetChase3,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
99,KnuggetChase3,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
100,KnuggetChase3,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
101,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
102,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
103,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
104,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
105,KungChi3,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
106,KungChi3,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.09999999999999999,0.2727272727272727,0.00654312749102737
107,KungChi3,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.11428571428571424,0.3333333333333333,-0.022192935116286283
108,KungChi3,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.1,0.23076923076923075,0.025209354323909805
109,KungChi3,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.1658536585365853,0.3333333333333335,-0.012762389420442588
110,KungChi3,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.1659574468085106,0.4193548387096774,0.002464796412801985
111,KungChi3,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.10769230769230767,0.3333333333333333,-0.0013506464171535186
112,KungChi3,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.15,0.2,-0.006569518390068136
113,KungChi3,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
114,KungChi3,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
115,KungChi3,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
116,KungChi3,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
117,KungChi3,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
118,KungChi3,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
119,KungChi3,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
120,KungChi3,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
121,KungChi3,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
122,KungChi3,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
123,KungChi3,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
124,KungChi3,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
125,KungChi3,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
126,KungChi3,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
127,KungChi3,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
128,KungChi3,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
129,KungChi3,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
130,KungChi3,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
131,KungChi3,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
132,KungChi3,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
133,KungChi3,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
134,KungChi3,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
135,KungChi3,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
136,KungChi3,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
137,KungChi3,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
138,KungChi3,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
139,KungChi3,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
140,MeanWhile1,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
141,MeanWhile1,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.1,0.37500000000000006,-0.0031611671936103134
142,MeanWhile1,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.10384615384615377,0.5000000000000003,-0.007766564397853807
143,MeanWhile1,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.13846153846153839,0.11111111111111126,-0.009541452833216188
144,MeanWhile1,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.12307692307692301,0.20000000000000015,-0.0012690351676010252
145,MeanWhile1,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.17111111111111107,0.18032786885245922,0.0009754108665945163
146,MeanWhile1,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.054054054054054036,0.7500000000000001,-0.008172542127687192
147,MeanWhile1,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.09230769230769226,0.1999999999999998,-0.001727712971786931
148,MeanWhile1,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
149,MeanWhile1,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
150,MeanWhile1,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
151,MeanWhile1,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
152,MeanWhile1,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
153,MeanWhile1,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
154,MeanWhile1,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
155,MeanWhile1,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
156,MeanWhile1,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
157,MeanWhile1,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
158,MeanWhile1,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
159,MeanWhile1,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
160,MeanWhile1,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
161,MeanWhile1,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
162,MeanWhile1,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
163,MeanWhile1,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
164,MeanWhile1,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
165,MeanWhile1,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
166,MeanWhile1,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
167,MeanWhile1,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
168,MeanWhile1,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
169,MeanWhile1,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
170,MeanWhile1,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
171,MeanWhile1,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
172,MeanWhile1,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
173,MeanWhile1,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
174,MeanWhile1,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
175,MegaWatt1,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
176,MegaWatt1,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.08,0.3333333333333333,-0.0017163384636783225
177,MegaWatt1,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.12307692307692301,0.30434782608695643,-0.0032564159271277543
178,MegaWatt1,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.1569230769230769,0.2972972972972973,-0.0013271382811559317
179,MegaWatt1,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.14615384615384608,0.3191489361702129,0.0009108929606564065
180,MegaWatt1,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.12888888888888886,0.09090909090909083,0.0033952203528041834
181,MegaWatt1,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.048648648648648624,0.6,-0.02519980815733782
182,MegaWatt1,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0964360587002096,0.19774011299435065,-0.0011507147237211951
183,MegaWatt1,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
184,MegaWatt1,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
185,MegaWatt1,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
186,MegaWatt1,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
187,MegaWatt1,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
188,MegaWatt1,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
189,MegaWatt1,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
190,MegaWatt1,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
191,MegaWatt1,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
192,MegaWatt1,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
193,MegaWatt1,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
194,MegaWatt1,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
195,MegaWatt1,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
196,MegaWatt1,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
197,MegaWatt1,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
198,MegaWatt1,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
199,MegaWatt1,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
200,MegaWatt1,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
201,MegaWatt1,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
202,MegaWatt1,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
203,MegaWatt1,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
204,MegaWatt1,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
205,MegaWatt1,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
206,MegaWatt1,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
207,MegaWatt1,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
208,MegaWatt1,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
209,MegaWatt1,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
210,PieChart1,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
211,PieChart1,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.05416666666666663,0.20000000000000073,0.0017033807168408595
212,PieChart1,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.0961832061068702,0.3061224489795918,-0.0013114752094798127
213,PieChart1,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.12215568862275443,0.160493827160494,0.00041936095993747605
214,PieChart1,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.10297029702970295,0.17500000000000004,-0.0011515002559543603
215,PieChart1,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.12995780590717293,0.22580645161290314,0.0009252587369373266
216,PieChart1,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.04634146341463411,0.4666666666666666,0.0018740371649625556
217,PieChart1,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.09841269841269835,0.215686274509804,-0.0022689440207352405
218,PieChart1,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
219,PieChart1,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
220,PieChart1,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
221,PieChart1,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
222,PieChart1,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
223,PieChart1,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
224,PieChart1,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
225,PieChart1,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
226,PieChart1,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
227,PieChart1,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
228,PieChart1,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
229,PieChart1,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
230,PieChart1,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
231,PieChart1,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
232,PieChart1,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
233,PieChart1,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
234,PieChart1,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
235,PieChart1,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
236,PieChart1,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
237,PieChart1,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
238,PieChart1,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
239,PieChart1,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
240,PieChart1,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
241,PieChart1,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
242,PieChart1,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
243,PieChart1,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
244,PieChart1,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
245,PieChart2,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
246,PieChart2,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.04150943396226411,0.7500000000000002,-0.007788270322635465
247,PieChart2,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.026666666666666637,1.0,-0.010346433751051825
248,PieChart2,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.0265625,0.3333333333333333,-0.0021165742055993912
249,PieChart2,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.032727272727272674,0.19999999999999998,-0.0013662810642391463
250,PieChart2,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.03267326732673266,0.10344827586206887,0.005880556591542573
251,PieChart2,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.05599999999999997,1.0,-0.006074664795328811
252,PieChart2,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0405405405405405,0.3333333333333333,-0.00038163355799564837
253,PieChart2,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
254,PieChart2,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
255,PieChart2,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
256,PieChart2,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
257,PieChart2,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
258,PieChart2,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
259,PieChart2,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
260,PieChart2,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
261,PieChart2,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
262,PieChart2,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
263,PieChart2,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
